id,type,name,area,width,height,center_x,center_y,center_z,connected_room_count,connected_rooms
A001,aperture,Aperture_001,1.659,2.308,0.719,-11.477,-1.154,-83.631,3,Corridor_001 | Store_Room_001 | Room_001
A002,aperture,Aperture_002,1.659,2.308,0.719,-8.728,-1.154,-83.908,3,Corridor_001 | Bathroom_001 | Room_001
A003,aperture,Aperture_003,2.182,2.341,0.932,-12.275,-1.17,-82.423,3,Corridor_001 | Kitchen_001 | Store_Room_001
A004,aperture,Aperture_004,1.614,2.237,0.722,-13.864,-1.118,-79.841,2,Corridor_001 | Bathroom_002
A005,aperture,Aperture_005,1.85,2.265,0.817,-0.666,-1.133,-79.97,2,Corridor_006 | Bathroom_004
A006,aperture,Aperture_006,1.576,2.309,0.682,-1.516,-1.155,-82.096,3,Corridor_002 | Bathroom_005 | Corridor_003
A007,aperture,Aperture_007,1.665,2.258,0.737,12.904,-1.129,-82.254,2,Corridor_005 | Bathroom_006
A008,aperture,Aperture_008,2.025,2.243,0.903,20.704,-1.121,-82.772,3,Corridor_005 | Kitchen_005 | Store_Room_002
A009,aperture,Aperture_009,2.702,2.294,1.178,3.987,-1.147,-82.183,2,Corridor_002 | Staircase_004
A010,aperture,Aperture_010,1.995,2.354,0.847,7.463,-1.177,-80.875,2,Corridor_002 | Corridor_004
A011,aperture,Aperture_011,2.426,2.319,1.046,12.584,-1.16,-83.685,2,Corridor_002 | Corridor_005
A012,aperture,Aperture_012,2.329,2.216,1.051,-0.14,-1.108,-80.875,2,Corridor_002 | Corridor_006
A013,aperture,Aperture_013,2.515,2.155,1.167,-2.099,-1.077,-83.125,2,Corridor_002 | Corridor_003
A014,aperture,Aperture_014,2.172,2.24,0.97,-6.557,-1.12,-83.609,2,Corridor_002 | Corridor_001
A015,aperture,Aperture_015,1.94,2.206,0.88,-2.683,-1.167,-80.58,2,Corridor_003 | Kitchen_003
A016,aperture,Aperture_016,2.596,2.336,1.111,-2.071,-1.168,-79.187,2,Corridor_003 | Livingroom_002
A017,aperture,Aperture_017,1.757,2.265,0.775,-5.427,-1.133,-79.189,2,Livingroom_002 | Kitchen_003
A018,aperture,Aperture_018,1.667,2.243,0.743,21.414,-1.122,-79.217,2,Corridor_005 | Room_002
A019,aperture,Aperture_019,2.012,2.268,0.887,20.599,-1.134,-79.217,2,Corridor_005 | Dining_003
A020,aperture,Aperture_020,1.808,2.268,0.797,17.76,-1.134,-79.217,2,Corridor_005 | Dining_003
A021,aperture,Aperture_021,2.018,2.268,0.889,17.361,-1.134,-76.214,2,Dining_003 | Livingroom_004
A022,aperture,Aperture_022,1.931,2.268,0.851,17.361,-1.134,-78.792,2,Dining_003 | Livingroom_004
A023,aperture,Aperture_023,1.939,2.284,0.849,15.305,-1.142,-79.217,2,Corridor_005 | Livingroom_004
A024,aperture,Aperture_024,2.332,2.259,1.032,9.681,-1.13,-79.157,2,Corridor_004 | Dining_001
A025,aperture,Aperture_025,2.883,1.927,1.496,9.165,-0.964,-77.25,2,Dining_001 | Livingroom_003
A026,aperture,Aperture_026,2.139,2.282,0.937,2.583,-1.141,-78.717,2,Corridor_006 | Livingroom_005
A027,aperture,Aperture_027,2.139,2.282,0.937,-0.161,-1.141,-78.717,2,Corridor_006 | Livingroom_005
A028,aperture,Aperture_028,1.701,2.267,0.75,-15.241,-1.134,-78.419,2,Corridor_001 | Dining_002
A029,aperture,Aperture_029,1.701,2.267,0.75,-12.267,-1.134,-78.419,2,Corridor_001 | Dining_002
