id,name,center_x,center_y,center_z,bbox_width,bbox_depth,bbox_height,bbox_floor_area,volume,connected_door_count,connected_doors
R001,Corridor_002,3.224,-1.25,-82.709,19.14,2.5,3.497,47.85,74.274,9,Unnamed door | Unnamed door | Unnamed door | Unnamed door | Unnamed door | Unnamed door | Unnamed door | Unnamed door | Unnamed door
R002,Staircase_004,5.134,-1.25,-83.35,3.615,2.5,2.182,9.038,17.7,1,Unnamed door
R003,Corridor_005,15.993,-1.25,-80.947,10.083,2.5,5.002,25.207,55.913,9,Unnamed door | Unnamed door | Unnamed door | Unnamed door | Unnamed door | Unnamed door | Unnamed door | Unnamed door | Unnamed door
R004,Bathroom_006,12.495,-1.25,-82.163,0.818,2.5,1.999,2.045,4.087,1,Unnamed door
R005,Staircase_005,10.741,-1.25,-82.277,3.071,2.5,1.999,7.678,12.759,1,Unnamed door
R006,Corridor_004,9.334,-1.25,-80.252,4.878,2.5,2.878,12.195,25.367,5,Unnamed door | Unnamed door | Unnamed door | Unnamed door | Unnamed door
R007,Bathroom_003,6.281,-1.25,-80.016,0.993,2.5,1.717,2.482,4.265,1,Unnamed door
R008,Kitchen_002,4.489,-1.25,-78.189,2.621,2.5,5.302,6.553,31.119,2,Unnamed door | Unnamed door
R009,Staircase_003,2.108,-1.25,-80.268,3.445,2.5,1.214,8.612,10.456,1,Unnamed door
R010,Corridor_006,0.887,-1.25,-79.47,3.83,2.5,2.158,9.575,12.229,6,Unnamed door | Unnamed door | Unnamed door | Unnamed door | Unnamed door | Unnamed door
R011,Bathroom_004,-1.091,-1.25,-80.157,0.85,2.5,1.94,2.125,4.123,1,Unnamed door
R012,Bathroom_005,-1.091,-1.25,-82.053,0.85,2.5,1.852,2.125,3.935,1,Unnamed door
R013,Corridor_003,-2.099,-1.25,-81.156,1.167,2.5,3.938,2.917,11.49,5,Unnamed door | Unnamed door | Unnamed door | Unnamed door | Unnamed door
R014,Staircase_002,-4.62,-1.25,-82.592,3.874,2.5,1.066,9.685,10.322,1,Unnamed door
R015,Corridor_001,-10.389,-1.25,-79.849,10.167,2.5,5.676,25.418,45.063,12,Unnamed door | Unnamed door | Unnamed door | Unnamed door | Unnamed door | Unnamed door | Unnamed door | Unnamed door | Unnamed door | Unnamed door | Unnamed door | Unnamed door
R016,Staircase_006,16.15,-1.25,-82.985,2.122,2.5,2.469,5.305,13.1,1,Unnamed door
R017,Kitchen_005,19.454,-1.25,-81.535,5.034,2.5,2.736,12.585,28.792,2,Unnamed door | Unnamed door
R018,Room_002,22.262,-1.25,-77.262,3.02,2.5,3.622,7.55,20.284,1,Unnamed door
R019,Dining_003,19.172,-1.25,-77.523,3.682,2.5,3.448,9.205,31.052,4,Unnamed door | Unnamed door | Unnamed door | Unnamed door
R020,Livingroom_004,15.246,-1.25,-77.545,4.457,2.5,3.504,11.143,36.381,3,Unnamed door | Unnamed door | Unnamed door
R021,Kitchen_004,12.284,-1.25,-78.459,1.276,2.5,5.472,3.19,16.908,2,Unnamed door | Unnamed door
R022,Dining_001,10.42,-1.25,-77.41,2.539,2.5,3.502,6.348,21.909,3,Unnamed door | Unnamed door | Unnamed door
R023,Livingroom_003,7.604,-1.25,-77.372,3.38,2.5,3.546,8.45,26.953,1,Unnamed door
R024,Livingroom_005,0.79,-1.25,-77.188,4.68,2.5,3.677,11.7,37.749,4,Unnamed door | Unnamed door | Unnamed door | Unnamed door
R025,Livingroom_002,-4.088,-1.25,-77.354,5.041,2.5,3.751,12.603,45.984,2,Unnamed door | Unnamed door
R026,Kitchen_003,-4.62,-1.25,-80.623,3.874,2.5,2.871,9.685,27.784,2,Unnamed door | Unnamed door
R027,Bathroom_002,-14.482,-1.25,-80.429,2.591,2.5,1.354,6.478,6.299,1,Unnamed door
R028,Kitchen_001,-10.548,-1.25,-81.078,5.843,2.5,2.732,14.607,39.269,3,Unnamed door | Unnamed door | Unnamed door
R029,Bathroom_001,-8.194,-1.25,-83.398,1.067,2.5,1.949,2.667,5.2,1,Unnamed door
R030,Livingroom_001,-9.033,-1.25,-76.977,5.264,2.5,3.042,13.16,36.914,3,Unnamed door | Unnamed door | Unnamed door
R031,Dining_002,-14.559,-1.25,-76.722,7.537,2.5,3.152,18.843,41.21,3,Unnamed door | Unnamed door | Unnamed door
R032,Staircase_001,-18.128,-1.25,-77.023,4.8,2.5,4.014,12.0,18.059,1,Unnamed door
R033,Store_Room_002,19.425,-1.25,-83.554,3.589,2.5,1.593,8.973,12.789,1,Unnamed door
R034,Store_Room_001,-12.512,-1.25,-83.453,2.026,2.5,2.099,5.065,10.383,2,Unnamed door | Unnamed door
R035,Room_001,-10.032,-1.25,-83.296,2.75,2.5,1.949,6.875,11.761,2,Unnamed door | Unnamed door
